IMA12	IMA2	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	IMA11
LightGreen_Probe	LightGreen_Probe	Rabbit_Probe	Tie_Probe	LightBlue_Probe	Spike_Probe	Pacman_Probe	LightRed_Probe	Bar_Probe	Gem_Probe
LightGreen_Probe	LightGreen_Probe	Rabbit_Probe	Tie_Probe	LightBlue_Probe	Spike_Probe	Pacman_Probe	LightRed_Probe	Bar_Probe	Gem_Probe
LightGreen_Probe	LightGreen_Probe	Rabbit_Probe	Tie_Probe	LightBlue_Probe	Spike_Probe	Pacman_Probe	LightRed_Probe	Bar_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	LightGreen_Choice	Rabbit_Choice	Tie_Choice	LightBlue_Choice	Spike_Choice	Pacman_Choice	LightRed_Choice	Bar_Choice	Gem_Choice
House_Probe	Sawblade_Probe	Bell_Probe	DarkGray_Probe	Crowbar_Probe	LightTurquiose_Probe	Hourglass_Probe	Hat_Probe	Crowbar_Probe	DarkTurquiose_Probe
House_Probe	Sawblade_Probe	Bell_Probe	DarkGray_Probe	Crowbar_Probe	LightTurquiose_Probe	Hourglass_Probe	Hat_Probe	Crowbar_Probe	DarkTurquiose_Probe
House_Probe	Sawblade_Probe	Bell_Probe	DarkGray_Probe	Crowbar_Probe	LightTurquiose_Probe	Hourglass_Probe	Hat_Probe	Crowbar_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
House_Choice	Sawblade_Choice	Bell_Choice	DarkGray_Choice	Crowbar_Choice	LightTurquiose_Choice	Hourglass_Choice	Hat_Choice	Crowbar_Choice	DarkTurquiose_Choice
Dodecagon_Probe	Jellyfish_Probe	DarkYellow_Probe	Puzzle_Probe	Sawblade_Probe	Acorn_Probe	DarkYellow_Probe	Pacman_Probe	LightYellow_Probe	Puzzle_Probe
Dodecagon_Probe	Jellyfish_Probe	DarkYellow_Probe	Puzzle_Probe	Sawblade_Probe	Acorn_Probe	DarkYellow_Probe	Pacman_Probe	LightYellow_Probe	Puzzle_Probe
Dodecagon_Probe	Jellyfish_Probe	DarkYellow_Probe	Puzzle_Probe	Sawblade_Probe	Acorn_Probe	DarkYellow_Probe	Pacman_Probe	LightYellow_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Jellyfish_Choice	DarkYellow_Choice	Puzzle_Choice	Sawblade_Choice	Acorn_Choice	DarkYellow_Choice	Pacman_Choice	LightYellow_Choice	Puzzle_Choice
DarkGreen_Probe	LightTurquiose_Probe	Spade_Probe	Gem_Probe	LightGreen_Probe	Venn_Probe	Crowbar_Probe	DarkYellow_Probe	Lock_Probe	Acorn_Probe
DarkGreen_Probe	LightTurquiose_Probe	Spade_Probe	Gem_Probe	LightGreen_Probe	Venn_Probe	Crowbar_Probe	DarkYellow_Probe	Lock_Probe	Acorn_Probe
DarkGreen_Probe	LightTurquiose_Probe	Spade_Probe	Gem_Probe	LightGreen_Probe	Venn_Probe	Crowbar_Probe	DarkYellow_Probe	Lock_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen_Choice	LightTurquiose_Choice	Spade_Choice	Gem_Choice	LightGreen_Choice	Venn_Choice	Crowbar_Choice	DarkYellow_Choice	Lock_Choice	Acorn_Choice
LeftArrow_Probe	Hat_Probe	Stickyhand_Probe	LightGray_Probe	Pacman_Probe	LightBlue_Probe	Venn_Probe	Rabbit_Probe	Ditto_Probe	DarkGreen_Probe
LeftArrow_Probe	Hat_Probe	Stickyhand_Probe	LightGray_Probe	Pacman_Probe	LightBlue_Probe	Venn_Probe	Rabbit_Probe	Ditto_Probe	DarkGreen_Probe
LeftArrow_Probe	Hat_Probe	Stickyhand_Probe	LightGray_Probe	Pacman_Probe	LightBlue_Probe	Venn_Probe	Rabbit_Probe	Ditto_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LeftArrow_Choice	Hat_Choice	Stickyhand_Choice	LightGray_Choice	Pacman_Choice	LightBlue_Choice	Venn_Choice	Rabbit_Choice	Ditto_Choice	DarkGreen_Choice
Sawblade_Probe	Star_Probe	LightYellow_Probe	Dodecagon_Probe	Venn_Probe	Tie_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Rabbit_Probe
Sawblade_Probe	Star_Probe	LightYellow_Probe	Dodecagon_Probe	Venn_Probe	Tie_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Rabbit_Probe
Sawblade_Probe	Star_Probe	LightYellow_Probe	Dodecagon_Probe	Venn_Probe	Tie_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Star_Choice	LightYellow_Choice	Dodecagon_Choice	Venn_Choice	Tie_Choice	LightYellow_Choice	Jellyfish_Choice	DarkBlue_Choice	Rabbit_Choice
LightRed_Probe	LightPurple_Probe	Hat_Probe	Bell_Probe	LightPurple_Probe	Dodecagon_Probe	House_Probe	DarkPurple_Probe	Rabbit_Probe	LeftArrow_Probe
LightRed_Probe	LightPurple_Probe	Hat_Probe	Bell_Probe	LightPurple_Probe	Dodecagon_Probe	House_Probe	DarkPurple_Probe	Rabbit_Probe	LeftArrow_Probe
LightRed_Probe	LightPurple_Probe	Hat_Probe	Bell_Probe	LightPurple_Probe	Dodecagon_Probe	House_Probe	DarkPurple_Probe	Rabbit_Probe	LeftArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	LightPurple_Choice	Hat_Choice	Bell_Choice	LightPurple_Choice	Dodecagon_Choice	House_Choice	DarkPurple_Choice	Rabbit_Choice	LeftArrow_Choice
Pacman_Probe	Spike_Probe	Gem_Probe	DarkYellow_Probe	Heart_Probe	DarkYellow_Probe	Lock_Probe	Lock_Probe	Bell_Probe	DarkBlue_Probe
Pacman_Probe	Spike_Probe	Gem_Probe	DarkYellow_Probe	Heart_Probe	DarkYellow_Probe	Lock_Probe	Lock_Probe	Bell_Probe	DarkBlue_Probe
Pacman_Probe	Spike_Probe	Gem_Probe	DarkYellow_Probe	Heart_Probe	DarkYellow_Probe	Lock_Probe	Lock_Probe	Bell_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	Spike_Choice	Gem_Choice	DarkYellow_Choice	Heart_Choice	DarkYellow_Choice	Lock_Choice	Lock_Choice	Bell_Choice	DarkBlue_Choice
Diamond_Probe	Ditto_Probe	LightRed_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	DarkPurple_Probe	Tie_Probe	DarkGreen_Probe	Lock_Probe
Diamond_Probe	Ditto_Probe	LightRed_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	DarkPurple_Probe	Tie_Probe	DarkGreen_Probe	Lock_Probe
Diamond_Probe	Ditto_Probe	LightRed_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	DarkPurple_Probe	Tie_Probe	DarkGreen_Probe	Lock_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond_Choice	Ditto_Choice	LightRed_Choice	Spade_Choice	Spade_Choice	Crowbar_Choice	DarkPurple_Choice	Tie_Choice	DarkGreen_Choice	Lock_Choice
LightBlue_Probe	DarkYellow_Probe	Bar_Probe	Crowbar_Probe	DarkGray_Probe	Rabbit_Probe	Tie_Probe	DarkBlue_Probe	Spike_Probe	Ditto_Probe
LightBlue_Probe	DarkYellow_Probe	Bar_Probe	Crowbar_Probe	DarkGray_Probe	Rabbit_Probe	Tie_Probe	DarkBlue_Probe	Spike_Probe	Ditto_Probe
LightBlue_Probe	DarkYellow_Probe	Bar_Probe	Crowbar_Probe	DarkGray_Probe	Rabbit_Probe	Tie_Probe	DarkBlue_Probe	Spike_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	DarkYellow_Choice	Bar_Choice	Crowbar_Choice	DarkGray_Choice	Rabbit_Choice	Tie_Choice	DarkBlue_Choice	Spike_Choice	Ditto_Choice
Chevron_Probe	Dodecagon_Probe	Tie_Probe	LightPurple_Probe	Stickyhand_Probe	DarkPurple_Probe	Dodecagon_Probe	UpArrow_Probe	Pacman_Probe	LightGray_Probe
Chevron_Probe	Dodecagon_Probe	Tie_Probe	LightPurple_Probe	Stickyhand_Probe	DarkPurple_Probe	Dodecagon_Probe	UpArrow_Probe	Pacman_Probe	LightGray_Probe
Chevron_Probe	Dodecagon_Probe	Tie_Probe	LightPurple_Probe	Stickyhand_Probe	DarkPurple_Probe	Dodecagon_Probe	UpArrow_Probe	Pacman_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Chevron_Choice	Dodecagon_Choice	Tie_Choice	LightPurple_Choice	Stickyhand_Choice	DarkPurple_Choice	Dodecagon_Choice	UpArrow_Choice	Pacman_Choice	LightGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
