5	6	8
Background	Background	Background
Background	Background	Background
Background	Diamond_Choice	DarkTurquiose_Choice
Acorn	DarkPurple	Dodecagon
Acorn	DarkPurple	Dodecagon
Acorn	DarkPurple	Dodecagon
Acorn	DarkPurple	Dodecagon
Acorn	DarkPurple	Dodecagon
Background	Background	Background
Background	Background	Background
Acorn_Choice	DarkPurple_Choice	Dodecagon_Choice
LightTurquiose	Background	Crowbar
LightTurquiose	Background	Crowbar
LightTurquiose	Background	Crowbar
LightTurquiose	Background	Crowbar
LightTurquiose	Background	Crowbar
Background	Background	Background
Background	Background	Background
LightTurquiose_Choice	Background	Crowbar_Choice
Diamond	Star	Background
Diamond	Star	Background
Diamond	Star	Background
Diamond	Star	Background
Diamond	Star	Background
Background	Background	Background
Background	Background	Background
Diamond_Choice	Star_Choice	Background
Background	Spike	LightGreen
Background	Spike	LightGreen
Background	Spike	LightGreen
Background	Spike	LightGreen
Background	Spike	LightGreen
Background	Background	Background
Background	Background	Background
Background	Spike_Choice	LightGreen_Choice
Pacman	LightGreen	Sawblade
Pacman	LightGreen	Sawblade
Pacman	LightGreen	Sawblade
Pacman	LightGreen	Sawblade
Pacman	LightGreen	Sawblade
Background	Background	Background
Background	Background	Background
Pacman_Choice	LightGreen_Choice	Sawblade_Choice
DarkTurquiose	Background	Tie
DarkTurquiose	Background	Tie
DarkTurquiose	Background	Tie
DarkTurquiose	Background	Tie
DarkTurquiose	Background	Tie
Background	Background	Background
Background	Background	Background
DarkTurquiose_Choice	Background	Tie_Choice
Nail	House	Background
Nail	House	Background
Nail	House	Background
Nail	House	Background
Nail	House	Background
Background	Background	Background
Background	Background	Background
Nail_Choice	House_Choice	Background
Background	Dodecagon	DarkRed
Background	Dodecagon	DarkRed
Background	Dodecagon	DarkRed
Background	Dodecagon	DarkRed
Background	Dodecagon	DarkRed
Background	Background	Background
Background	Background	Background
Background	Dodecagon_Choice	DarkRed_Choice
LeftArrow	DarkTurquiose	Bar
LeftArrow	DarkTurquiose	Bar
LeftArrow	DarkTurquiose	Bar
LeftArrow	DarkTurquiose	Bar
LeftArrow	DarkTurquiose	Bar
Background	Background	Background
Background	Background	Background
LeftArrow_Choice	DarkTurquiose_Choice	Bar_Choice
LightGreen	Background	Ditto
LightGreen	Background	Ditto
LightGreen	Background	Ditto
LightGreen	Background	Ditto
LightGreen	Background	Ditto
Background	Background	Background
Background	Background	Background
LightGreen_Choice	Background	Ditto_Choice
Lock	Bell	Background
Lock	Bell	Background
Lock	Bell	Background
Lock	Bell	Background
Lock	Bell	Background
Background	Background	Background
Background	Background	Background
Lock_Choice	Bell_Choice	Background
Background	Lock	LightTurquiose
Background	Lock	LightTurquiose
Background	Lock	LightTurquiose
Background	Lock	LightTurquiose
Background	Lock	LightTurquiose
Background	Background	Background
Background	Background	Background
Background	Lock_Choice	LightTurquiose_Choice
Stickyhand	DarkRed	Hat
Stickyhand	DarkRed	Hat
Stickyhand	DarkRed	Hat
Stickyhand	DarkRed	Hat
Stickyhand	DarkRed	Hat
Background	Background	Background
Background	Background	Background
Stickyhand_Choice	DarkRed_Choice	Hat_Choice
DarkRed	Background	Chevron
DarkRed	Background	Chevron
DarkRed	Background	Chevron
DarkRed	Background	Chevron
DarkRed	Background	Chevron
Background	Background	Background
Background	Background	Background
DarkRed_Choice	Background	Chevron_Choice
Rabbit	Ditto	Background
Rabbit	Ditto	Background
Rabbit	Ditto	Background
Rabbit	Ditto	Background
Rabbit	Ditto	Background
Background	Background	Background
Background	Background	Background
Rabbit_Choice	Ditto_Choice	Background
Background	Bar	DarkGray
Background	Bar	DarkGray
Background	Bar	DarkGray
Background	Bar	DarkGray
Background	Bar	DarkGray
Background	Background	Background
Background	Background	Background
Background	Bar_Choice	DarkGray_Choice
Star	LightRed	Puzzle
Star	LightRed	Puzzle
Star	LightRed	Puzzle
Star	LightRed	Puzzle
Star	LightRed	Puzzle
Background	Background	Background
Background	Background	Background
Star_Choice	LightRed_Choice	Puzzle_Choice
DarkPurple	Background	Heart
DarkPurple	Background	Heart
DarkPurple	Background	Heart
DarkPurple	Background	Heart
DarkPurple	Background	Heart
Background	Background	Background
Background	Background	Background
DarkPurple_Choice	Background	Heart_Choice
Spike	Gem	Background
Spike	Gem	Background
Spike	Gem	Background
Spike	Gem	Background
Spike	Gem	Background
Background	Background	Background
Background	Background	Background
Spike_Choice	Gem_Choice	Background
Background	Puzzle	DarkBlue
Background	Puzzle	DarkBlue
Background	Puzzle	DarkBlue
Background	Puzzle	DarkBlue
Background	Puzzle	DarkBlue
Background	Background	Background
Background	Background	Background
Background	Puzzle_Choice	DarkBlue_Choice
Chevron	LightYellow	Hourglass
Chevron	LightYellow	Hourglass
Chevron	LightYellow	Hourglass
Chevron	LightYellow	Hourglass
Chevron	LightYellow	Hourglass
Background	Background	Background
Background	Background	Background
Chevron_Choice	LightYellow_Choice	Hourglass_Choice
LightPurple	Background	Star
LightPurple	Background	Star
LightPurple	Background	Star
LightPurple	Background	Star
LightPurple	Background	Star
Background	Background	Background
Background	Background	Background
LightPurple_Choice	Background	Star_Choice
Venn	LeftArrow	Background
Venn	LeftArrow	Background
Venn	LeftArrow	Background
Venn	LeftArrow	Background
Venn	LeftArrow	Background
Background	Background	Background
Background	Background	Background
Venn_Choice	LeftArrow_Choice	Background
Background	Spade	LightPurple
Background	Spade	LightPurple
Background	Spade	LightPurple
Background	Spade	LightPurple
Background	Spade	LightPurple
Background	Background	Background
Background	Background	Background
Background	Spade_Choice	LightPurple_Choice
Gem	LightPurple	Nail
Gem	LightPurple	Nail
Gem	LightPurple	Nail
Gem	LightPurple	Nail
Gem	LightPurple	Nail
Background	Background	Background
Background	Background	Background
Gem_Choice	LightPurple_Choice	Nail_Choice
LightRed	Background	Jellyfish
LightRed	Background	Jellyfish
LightRed	Background	Jellyfish
LightRed	Background	Jellyfish
LightRed	Background	Jellyfish
Background	Background	Background
Background	Background	Background
LightRed_Choice	Background	Jellyfish_Choice
UpArrow	Tie	Background
UpArrow	Tie	Background
UpArrow	Tie	Background
UpArrow	Tie	Background
UpArrow	Tie	Background
Background	Background	Background
Background	Background	Background
UpArrow_Choice	Tie_Choice	Background
Background	Rabbit	DarkPurple
Background	Rabbit	DarkPurple
Background	Rabbit	DarkPurple
Background	Rabbit	DarkPurple
Background	Rabbit	DarkPurple
Background	Background	Background
Background	Background	Background
Background	Rabbit_Choice	DarkPurple_Choice
Bell	DarkGreen	UpArrow
Bell	DarkGreen	UpArrow
Bell	DarkGreen	UpArrow
Bell	DarkGreen	UpArrow
Bell	DarkGreen	UpArrow
Background	Background	Background
Background	Background	Background
Bell_Choice	DarkGreen_Choice	UpArrow_Choice
DarkYellow	Background	Pacman
DarkYellow	Background	Pacman
DarkYellow	Background	Pacman
DarkYellow	Background	Pacman
DarkYellow	Background	Pacman
Background	Background	Background
Background	Background	Background
DarkYellow_Choice	Background	Pacman_Choice
Hourglass	Jellyfish	Background
Hourglass	Jellyfish	Background
Hourglass	Jellyfish	Background
Hourglass	Jellyfish	Background
Hourglass	Jellyfish	Background
Background	Background	Background
Background	Background	Background
Hourglass_Choice	Jellyfish_Choice	Background
Background	Nail	LightYellow
Background	Nail	LightYellow
Background	Nail	LightYellow
Background	Nail	LightYellow
Background	Nail	LightYellow
Background	Background	Background
Background	Background	Background
Background	Nail_Choice	LightYellow_Choice
House	LightTurquiose	Diamond
House	LightTurquiose	Diamond
House	LightTurquiose	Diamond
House	LightTurquiose	Diamond
House	LightTurquiose	Diamond
Background	Background	Background
Background	Background	Background
House_Choice	LightTurquiose_Choice	Diamond_Choice
DarkGray	Background	Stickyhand
DarkGray	Background	Stickyhand
DarkGray	Background	Stickyhand
DarkGray	Background	Stickyhand
DarkGray	Background	Stickyhand
Background	Background	Background
Background	Background	Background
DarkGray_Choice	Background	Stickyhand_Choice
Dodecagon	Chevron	Background
Dodecagon	Chevron	Background
Dodecagon	Chevron	Background
Dodecagon	Chevron	Background
Dodecagon	Chevron	Background
Background	Background	Background
Background	Background	Background
Dodecagon_Choice	Chevron_Choice	Background
Background	Venn	DarkYellow
Background	Venn	DarkYellow
Background	Venn	DarkYellow
Background	Venn	DarkYellow
Background	Venn	DarkYellow
Background	Background	Background
Background	Background	Background
Background	Venn_Choice	DarkYellow_Choice
Tie	LightBlue	Spike
Tie	LightBlue	Spike
Tie	LightBlue	Spike
Tie	LightBlue	Spike
Tie	LightBlue	Spike
Background	Background	Background
Background	Background	Background
Tie_Choice	LightBlue_Choice	Spike_Choice
DarkBlue	Background	Acorn
DarkBlue	Background	Acorn
DarkBlue	Background	Acorn
DarkBlue	Background	Acorn
DarkBlue	Background	Acorn
Background	Background	Background
Background	Background	Background
DarkBlue_Choice	Background	Acorn_Choice
Spade	Pacman	Background
Spade	Pacman	Background
Spade	Pacman	Background
Spade	Pacman	Background
Spade	Pacman	Background
Background	Background	Background
Background	Background	Background
Spade_Choice	Pacman_Choice	Background
Background	UpArrow	LightBlue
Background	UpArrow	LightBlue
Background	UpArrow	LightBlue
Background	UpArrow	LightBlue
Background	UpArrow	LightBlue
Background	Background	Background
Background	Background	Background
Background	UpArrow_Choice	LightBlue_Choice
Ditto	DarkBlue	Rabbit
Ditto	DarkBlue	Rabbit
Ditto	DarkBlue	Rabbit
Ditto	DarkBlue	Rabbit
Ditto	DarkBlue	Rabbit
Background	Background	Background
Background	Background	Background
Ditto_Choice	DarkBlue_Choice	Rabbit_Choice
LightYellow	Background	House
LightYellow	Background	House
LightYellow	Background	House
LightYellow	Background	House
LightYellow	Background	House
Background	Background	Background
Background	Background	Background
LightYellow_Choice	Background	House_Choice
Bar	Heart	Background
Bar	Heart	Background
Bar	Heart	Background
Bar	Heart	Background
Bar	Heart	Background
Background	Background	Background
Background	Background	Background
Bar_Choice	Heart_Choice	Background
Background	Hat	LightGray
Background	Hat	LightGray
Background	Hat	LightGray
Background	Hat	LightGray
Background	Hat	LightGray
Background	Background	Background
Background	Background	Background
Background	Hat_Choice	LightGray_Choice
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
Background	Background	Background
