IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8
DarkRed_Probe	Spike_Probe	Stickyhand_Probe	LightBlue_Probe	Lock_Probe	Ditto_Probe	LightBlue_Probe
DarkRed_Probe	Spike_Probe	Stickyhand_Probe	LightBlue_Probe	Lock_Probe	Ditto_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background
DarkRed_Choice	Spike_Choice	Stickyhand_Choice	LightBlue_Choice	Lock_Choice	Ditto_Choice	LightBlue_Choice
Venn_Probe	Tie_Probe	LightGray_Probe	Star_Probe	LightRed_Probe	Venn_Probe	Diamond_Probe
Venn_Probe	Tie_Probe	LightGray_Probe	Star_Probe	LightRed_Probe	Venn_Probe	Diamond_Probe
Venn_Probe	Tie_Probe	LightGray_Probe	Star_Probe	LightRed_Probe	Venn_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background
Venn_Choice	Tie_Choice	LightGray_Choice	Star_Choice	LightRed_Choice	Venn_Choice	Diamond_Choice
Acorn_Probe	LightRed_Probe	Rabbit_Probe	Lock_Probe	Pacman_Probe	DarkGray_Probe	Pacman_Probe
Acorn_Probe	LightRed_Probe	Rabbit_Probe	Lock_Probe	Pacman_Probe	DarkGray_Probe	Pacman_Probe
Acorn_Probe	LightRed_Probe	Rabbit_Probe	Lock_Probe	Pacman_Probe	DarkGray_Probe	Pacman_Probe
Background	Background	Background	Background	Background	Background	Background
Acorn_Choice	LightRed_Choice	Rabbit_Choice	Lock_Choice	Pacman_Choice	DarkGray_Choice	Pacman_Choice
LightBlue_Probe	UpArrow_Probe	Pacman_Probe	LightRed_Probe	Hourglass_Probe	Pacman_Probe	LightRed_Probe
LightBlue_Probe	UpArrow_Probe	Pacman_Probe	LightRed_Probe	Hourglass_Probe	Pacman_Probe	LightRed_Probe
LightBlue_Probe	UpArrow_Probe	Pacman_Probe	LightRed_Probe	Hourglass_Probe	Pacman_Probe	LightRed_Probe
Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	UpArrow_Choice	Pacman_Choice	LightRed_Choice	Hourglass_Choice	Pacman_Choice	LightRed_Choice
Spade_Probe	Jellyfish_Probe	DarkGray_Probe	Ditto_Probe	LightTurquiose_Probe	Hat_Probe	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkGray_Probe	Ditto_Probe	LightTurquiose_Probe	Hat_Probe	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkGray_Probe	Ditto_Probe	LightTurquiose_Probe	Hat_Probe	Nail_Probe
Background	Background	Background	Background	Background	Background	Background
Spade_Choice	Jellyfish_Choice	DarkGray_Choice	Ditto_Choice	LightTurquiose_Choice	Hat_Choice	Nail_Choice
Crowbar_Probe	DarkRed_Probe	Nail_Probe	Hat_Probe	LeftArrow_Probe	LightGray_Probe	Star_Probe
Crowbar_Probe	DarkRed_Probe	Nail_Probe	Hat_Probe	LeftArrow_Probe	LightGray_Probe	Star_Probe
Crowbar_Probe	DarkRed_Probe	Nail_Probe	Hat_Probe	LeftArrow_Probe	LightGray_Probe	Star_Probe
Background	Background	Background	Background	Background	Background	Background
Crowbar_Choice	DarkRed_Choice	Nail_Choice	Hat_Choice	LeftArrow_Choice	LightGray_Choice	Star_Choice
LightGray_Probe	Rabbit_Probe	LeftArrow_Probe	DarkPurple_Probe	Sawblade_Probe	House_Probe	DarkTurquiose_Probe
LightGray_Probe	Rabbit_Probe	LeftArrow_Probe	DarkPurple_Probe	Sawblade_Probe	House_Probe	DarkTurquiose_Probe
LightGray_Probe	Rabbit_Probe	LeftArrow_Probe	DarkPurple_Probe	Sawblade_Probe	House_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background
LightGray_Choice	Rabbit_Choice	LeftArrow_Choice	DarkPurple_Choice	Sawblade_Choice	House_Choice	DarkTurquiose_Choice
Hat_Probe	Gem_Probe	LightPurple_Probe	Heart_Probe	DarkGray_Probe	Lock_Probe	Spade_Probe
Hat_Probe	Gem_Probe	LightPurple_Probe	Heart_Probe	DarkGray_Probe	Lock_Probe	Spade_Probe
Hat_Probe	Gem_Probe	LightPurple_Probe	Heart_Probe	DarkGray_Probe	Lock_Probe	Spade_Probe
Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Gem_Choice	LightPurple_Choice	Heart_Choice	DarkGray_Choice	Lock_Choice	Spade_Choice
Ditto_Probe	DarkTurquiose_Probe	Lock_Probe	Bar_Probe	Acorn_Probe	DarkBlue_Probe	Stickyhand_Probe
Ditto_Probe	DarkTurquiose_Probe	Lock_Probe	Bar_Probe	Acorn_Probe	DarkBlue_Probe	Stickyhand_Probe
Ditto_Probe	DarkTurquiose_Probe	Lock_Probe	Bar_Probe	Acorn_Probe	DarkBlue_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	DarkTurquiose_Choice	Lock_Choice	Bar_Choice	Acorn_Choice	DarkBlue_Choice	Stickyhand_Choice
LightPurple_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe	Hat_Probe	Bell_Probe	DarkYellow_Probe
LightPurple_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe	Hat_Probe	Bell_Probe	DarkYellow_Probe
LightPurple_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe	Hat_Probe	Bell_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background	Background	Background
LightPurple_Choice	Puzzle_Choice	Jellyfish_Choice	LightYellow_Choice	Hat_Choice	Bell_Choice	DarkYellow_Choice
Nail_Probe	Ditto_Probe	LightGreen_Probe	House_Probe	DarkPurple_Probe	Sawblade_Probe	Venn_Probe
Nail_Probe	Ditto_Probe	LightGreen_Probe	House_Probe	DarkPurple_Probe	Sawblade_Probe	Venn_Probe
Nail_Probe	Ditto_Probe	LightGreen_Probe	House_Probe	DarkPurple_Probe	Sawblade_Probe	Venn_Probe
Background	Background	Background	Background	Background	Background	Background
Nail_Choice	Ditto_Choice	LightGreen_Choice	House_Choice	DarkPurple_Choice	Sawblade_Choice	Venn_Choice
Bell_Probe	DarkYellow_Probe	Spike_Probe	Venn_Probe	Ditto_Probe	LightYellow_Probe	LeftArrow_Probe
Bell_Probe	DarkYellow_Probe	Spike_Probe	Venn_Probe	Ditto_Probe	LightYellow_Probe	LeftArrow_Probe
Bell_Probe	DarkYellow_Probe	Spike_Probe	Venn_Probe	Ditto_Probe	LightYellow_Probe	LeftArrow_Probe
Background	Background	Background	Background	Background	Background	Background
Bell_Choice	DarkYellow_Choice	Spike_Choice	Venn_Choice	Ditto_Choice	LightYellow_Choice	LeftArrow_Choice
LightRed_Probe	Sawblade_Probe	Tie_Probe	DarkRed_Probe	Nail_Probe	Acorn_Probe	LightGreen_Probe
LightRed_Probe	Sawblade_Probe	Tie_Probe	DarkRed_Probe	Nail_Probe	Acorn_Probe	LightGreen_Probe
LightRed_Probe	Sawblade_Probe	Tie_Probe	DarkRed_Probe	Nail_Probe	Acorn_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	Sawblade_Choice	Tie_Choice	DarkRed_Choice	Nail_Choice	Acorn_Choice	LightGreen_Choice
Spike_Probe	Heart_Probe	DarkTurquiose_Probe	Acorn_Probe	DarkTurquiose_Probe	Diamond_Probe	Dodecagon_Probe
Spike_Probe	Heart_Probe	DarkTurquiose_Probe	Acorn_Probe	DarkTurquiose_Probe	Diamond_Probe	Dodecagon_Probe
Spike_Probe	Heart_Probe	DarkTurquiose_Probe	Acorn_Probe	DarkTurquiose_Probe	Diamond_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Heart_Choice	DarkTurquiose_Choice	Acorn_Choice	DarkTurquiose_Choice	Diamond_Choice	Dodecagon_Choice
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
