IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA26	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
DarkRed	Ditto	LightBlue_Probe	Lock_Probe	Puzzle_Probe	Pacman_Probe	Chevron	LightYellow	Pacman	Heart	Nail	DarkGray	LightRed_Probe	Bell	DarkRed	Star	LightGray	Diamond_Probe	Dodecagon	Sawblade	Tie
DarkRed	Ditto	LightBlue_Probe	Lock_Probe	Puzzle_Probe	Pacman_Probe	Chevron	LightYellow	Pacman	Heart	Nail	DarkGray	LightRed_Probe	Bell	DarkRed	Star	LightGray	Diamond_Probe	Dodecagon	Sawblade	Tie
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	LightBlue_Choice	Lock_Choice	Puzzle_Choice	Pacman_Choice	Background	Background	Background	Background	Background	Background	LightRed_Choice	Background	Background	Background	Background	Diamond_Choice	Background	Background	Background
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Venn_Probe	Diamond	Crowbar	DarkGreen_Probe	Star	LightRed	DarkYellow	Dodecagon	Lock	Nail	Tie	Chevron	Heart	DarkGreen	Diamond	Dodecagon	Chevron	DarkYellow	House	House	LightBlue
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Venn_Choice	Background	Background	DarkGreen_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Gem	LightGray	Puzzle	Gem	LightYellow	Rabbit_Probe	Puzzle_Probe	Stickyhand	LightGray	DarkTurquiose_Probe	LightGray	Dodecagon	Rabbit	Diamond	House	DarkYellow_Probe	Hourglass	Gem_Probe	LightTurquiose	DarkGreen	Lock
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Rabbit_Choice	Puzzle_Choice	Background	Background	DarkTurquiose_Choice	Background	Background	Background	Background	Background	DarkYellow_Choice	Background	Gem_Choice	Background	Background	Background
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
DarkGray	LeftArrow	LightGray	Venn	Rabbit	Jellyfish	Pacman	DarkPurple	Ditto_Probe	Jellyfish	Dodecagon	DarkYellow	LightBlue	Tie	DarkGreen_Probe	Heart	DarkRed_Probe	Bar	Rabbit_Probe	Rabbit_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Ditto_Choice	Background	Background	Background	Background	Background	DarkGreen_Choice	Background	DarkRed_Choice	Background	Rabbit_Choice	Rabbit_Choice	Crowbar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
