2	 6	 8	10	11	12	13
Background	Bar	Acorn	DarkRed	Background	Rabbit	House
Background	Bar_Choice	Acorn_Choice	DarkRed_Choice	Background	Rabbit_Choice	House_Choice
Bell	LightGray	Background	Venn	Pacman	DarkGreen	Background
Bell	LightGray	Background	Venn	Pacman	DarkGreen	Background
Bell	LightGray	Background	Venn	Pacman	DarkGreen	Background
Bell	LightGray	Background	Venn	Pacman	DarkGreen	Background
Bell	LightGray	Background	Venn	Pacman	DarkGreen	Background
Bell_Choice	LightGray_Choice	Background	Venn_Choice	Pacman_Choice	DarkGreen_Choice	Background
DarkGray	Background	Lock	Ditto	DarkBlue	Background	Puzzle
DarkGray	Background	Lock	Ditto	DarkBlue	Background	Puzzle
DarkGray	Background	Lock	Ditto	DarkBlue	Background	Puzzle
DarkGray	Background	Lock	Ditto	DarkBlue	Background	Puzzle
DarkGray	Background	Lock	Ditto	DarkBlue	Background	Puzzle
DarkGray_Choice	Background	Lock_Choice	Ditto_Choice	DarkBlue_Choice	Background	Puzzle_Choice
Sawblade	Jellyfish	DarkGreen	Background	Venn	Jellyfish	DarkTurquiose
Sawblade	Jellyfish	DarkGreen	Background	Venn	Jellyfish	DarkTurquiose
Sawblade	Jellyfish	DarkGreen	Background	Venn	Jellyfish	DarkTurquiose
Sawblade	Jellyfish	DarkGreen	Background	Venn	Jellyfish	DarkTurquiose
Sawblade	Jellyfish	DarkGreen	Background	Venn	Jellyfish	DarkTurquiose
Sawblade_Choice	Jellyfish_Choice	DarkGreen_Choice	Background	Venn_Choice	Jellyfish_Choice	DarkTurquiose_Choice
Background	Puzzle	Pacman	LightBlue	Background	Hat	LeftArrow
Background	Puzzle	Pacman	LightBlue	Background	Hat	LeftArrow
Background	Puzzle	Pacman	LightBlue	Background	Hat	LeftArrow
Background	Puzzle	Pacman	LightBlue	Background	Hat	LeftArrow
Background	Puzzle	Pacman	LightBlue	Background	Hat	LeftArrow
Background	Puzzle_Choice	Pacman_Choice	LightBlue_Choice	Background	Hat_Choice	LeftArrow_Choice
Heart	DarkGray	Background	Hourglass	Jellyfish	DarkBlue	Background
Heart	DarkGray	Background	Hourglass	Jellyfish	DarkBlue	Background
Heart	DarkGray	Background	Hourglass	Jellyfish	DarkBlue	Background
Heart	DarkGray	Background	Hourglass	Jellyfish	DarkBlue	Background
Heart	DarkGray	Background	Hourglass	Jellyfish	DarkBlue	Background
Heart_Choice	DarkGray_Choice	Background	Hourglass_Choice	Jellyfish_Choice	DarkBlue_Choice	Background
LightYellow	Background	UpArrow	Chevron	LightPurple	Background	Hat
LightYellow	Background	UpArrow	Chevron	LightPurple	Background	Hat
LightYellow	Background	UpArrow	Chevron	LightPurple	Background	Hat
LightYellow	Background	UpArrow	Chevron	LightPurple	Background	Hat
LightYellow	Background	UpArrow	Chevron	LightPurple	Background	Hat
LightYellow_Choice	Background	UpArrow_Choice	Chevron_Choice	LightPurple_Choice	Background	Hat_Choice
Diamond	House	LightPurple	Background	Spade	House	LightRed
Diamond	House	LightPurple	Background	Spade	House	LightRed
Diamond	House	LightPurple	Background	Spade	House	LightRed
Diamond	House	LightPurple	Background	Spade	House	LightRed
Diamond	House	LightPurple	Background	Spade	House	LightRed
Diamond_Choice	House_Choice	LightPurple_Choice	Background	Spade_Choice	House_Choice	LightRed_Choice
Background	Venn	Stickyhand	DarkTurquiose	Background	Sawblade	Chevron
Background	Venn	Stickyhand	DarkTurquiose	Background	Sawblade	Chevron
Background	Venn	Stickyhand	DarkTurquiose	Background	Sawblade	Chevron
Background	Venn	Stickyhand	DarkTurquiose	Background	Sawblade	Chevron
Background	Venn	Stickyhand	DarkTurquiose	Background	Sawblade	Chevron
Background	Venn_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Background	Sawblade_Choice	Chevron_Choice
Stickyhand	DarkGreen	Background	Rabbit	Chevron	LightGreen	Background
Stickyhand	DarkGreen	Background	Rabbit	Chevron	LightGreen	Background
Stickyhand	DarkGreen	Background	Rabbit	Chevron	LightGreen	Background
Stickyhand	DarkGreen	Background	Rabbit	Chevron	LightGreen	Background
Stickyhand	DarkGreen	Background	Rabbit	Chevron	LightGreen	Background
Stickyhand_Choice	DarkGreen_Choice	Background	Rabbit_Choice	Chevron_Choice	LightGreen_Choice	Background
DarkYellow	Background	Dodecagon	Star	DarkGreen	Background	Lock
DarkYellow	Background	Dodecagon	Star	DarkGreen	Background	Lock
DarkYellow	Background	Dodecagon	Star	DarkGreen	Background	Lock
DarkYellow	Background	Dodecagon	Star	DarkGreen	Background	Lock
DarkYellow	Background	Dodecagon	Star	DarkGreen	Background	Lock
DarkYellow_Choice	Background	Dodecagon_Choice	Star_Choice	DarkGreen_Choice	Background	Lock_Choice
Venn	Acorn	LightRed	Background	Nail	Gem	DarkRed
Venn	Acorn	LightRed	Background	Nail	Gem	DarkRed
Venn	Acorn	LightRed	Background	Nail	Gem	DarkRed
Venn	Acorn	LightRed	Background	Nail	Gem	DarkRed
Venn	Acorn	LightRed	Background	Nail	Gem	DarkRed
Venn_Choice	Acorn_Choice	LightRed_Choice	Background	Nail_Choice	Gem_Choice	DarkRed_Choice
Background	Hourglass	Jellyfish	LightPurple	Background	Bar	Stickyhand
Background	Hourglass	Jellyfish	LightPurple	Background	Bar	Stickyhand
Background	Hourglass	Jellyfish	LightPurple	Background	Bar	Stickyhand
Background	Hourglass	Jellyfish	LightPurple	Background	Bar	Stickyhand
Background	Hourglass	Jellyfish	LightPurple	Background	Bar	Stickyhand
Background	Hourglass_Choice	Jellyfish_Choice	LightPurple_Choice	Background	Bar_Choice	Stickyhand_Choice
Acorn	LightPurple	Background	Dodecagon	Stickyhand	LightYellow	Background
Acorn	LightPurple	Background	Dodecagon	Stickyhand	LightYellow	Background
Acorn	LightPurple	Background	Dodecagon	Stickyhand	LightYellow	Background
Acorn	LightPurple	Background	Dodecagon	Stickyhand	LightYellow	Background
Acorn	LightPurple	Background	Dodecagon	Stickyhand	LightYellow	Background
Acorn_Choice	LightPurple_Choice	Background	Dodecagon_Choice	Stickyhand_Choice	LightYellow_Choice	Background
LightBlue	Background	Spike	Heart	LightRed	Background	Spade
LightBlue	Background	Spike	Heart	LightRed	Background	Spade
LightBlue	Background	Spike	Heart	LightRed	Background	Spade
LightBlue	Background	Spike	Heart	LightRed	Background	Spade
LightBlue	Background	Spike	Heart	LightRed	Background	Spade
LightBlue_Choice	Background	Spike_Choice	Heart_Choice	LightRed_Choice	Background	Spade_Choice
Nail	Gem	LightYellow	Background	Diamond	Tie	LightBlue
Nail	Gem	LightYellow	Background	Diamond	Tie	LightBlue
Nail	Gem	LightYellow	Background	Diamond	Tie	LightBlue
Nail	Gem	LightYellow	Background	Diamond	Tie	LightBlue
Nail	Gem	LightYellow	Background	Diamond	Tie	LightBlue
Nail_Choice	Gem_Choice	LightYellow_Choice	Background	Diamond_Choice	Tie_Choice	LightBlue_Choice
Background	Spike	Tie	LightYellow	Background	UpArrow	Ditto
Background	Spike	Tie	LightYellow	Background	UpArrow	Ditto
Background	Spike	Tie	LightYellow	Background	UpArrow	Ditto
Background	Spike	Tie	LightYellow	Background	UpArrow	Ditto
Background	Spike	Tie	LightYellow	Background	UpArrow	Ditto
Background	Spike_Choice	Tie_Choice	LightYellow_Choice	Background	UpArrow_Choice	Ditto_Choice
Jellyfish	DarkTurquiose	Background	UpArrow	LeftArrow	DarkTurquiose	Background
Jellyfish	DarkTurquiose	Background	UpArrow	LeftArrow	DarkTurquiose	Background
Jellyfish	DarkTurquiose	Background	UpArrow	LeftArrow	DarkTurquiose	Background
Jellyfish	DarkTurquiose	Background	UpArrow	LeftArrow	DarkTurquiose	Background
Jellyfish	DarkTurquiose	Background	UpArrow	LeftArrow	DarkTurquiose	Background
Jellyfish_Choice	DarkTurquiose_Choice	Background	UpArrow_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Background
DarkRed	Background	Bar	Acorn	DarkYellow	Background	Bar
DarkRed	Background	Bar	Acorn	DarkYellow	Background	Bar
DarkRed	Background	Bar	Acorn	DarkYellow	Background	Bar
DarkRed	Background	Bar	Acorn	DarkYellow	Background	Bar
DarkRed	Background	Bar	Acorn	DarkYellow	Background	Bar
DarkRed_Choice	Background	Bar_Choice	Acorn_Choice	DarkYellow_Choice	Background	Bar_Choice
Hourglass	Crowbar	LightGreen	Background	Bar	Stickyhand	LightGray
Hourglass	Crowbar	LightGreen	Background	Bar	Stickyhand	LightGray
Hourglass	Crowbar	LightGreen	Background	Bar	Stickyhand	LightGray
Hourglass	Crowbar	LightGreen	Background	Bar	Stickyhand	LightGray
Hourglass	Crowbar	LightGreen	Background	Bar	Stickyhand	LightGray
Hourglass_Choice	Crowbar_Choice	LightGreen_Choice	Background	Bar_Choice	Stickyhand_Choice	LightGray_Choice
Background	UpArrow	Gem	DarkPurple	Background	Lock	Acorn
Background	UpArrow	Gem	DarkPurple	Background	Lock	Acorn
Background	UpArrow	Gem	DarkPurple	Background	Lock	Acorn
Background	UpArrow	Gem	DarkPurple	Background	Lock	Acorn
Background	UpArrow	Gem	DarkPurple	Background	Lock	Acorn
Background	UpArrow_Choice	Gem_Choice	DarkPurple_Choice	Background	Lock_Choice	Acorn_Choice
LeftArrow	DarkBlue	Background	Spade	Acorn	LightTurquiose	Background
LeftArrow	DarkBlue	Background	Spade	Acorn	LightTurquiose	Background
LeftArrow	DarkBlue	Background	Spade	Acorn	LightTurquiose	Background
LeftArrow	DarkBlue	Background	Spade	Acorn	LightTurquiose	Background
LeftArrow	DarkBlue	Background	Spade	Acorn	LightTurquiose	Background
LeftArrow_Choice	DarkBlue_Choice	Background	Spade_Choice	Acorn_Choice	LightTurquiose_Choice	Background
LightRed	Background	Puzzle	Crowbar	LightTurquiose	Background	Dodecagon
LightRed	Background	Puzzle	Crowbar	LightTurquiose	Background	Dodecagon
LightRed	Background	Puzzle	Crowbar	LightTurquiose	Background	Dodecagon
LightRed	Background	Puzzle	Crowbar	LightTurquiose	Background	Dodecagon
LightRed	Background	Puzzle	Crowbar	LightTurquiose	Background	Dodecagon
LightRed_Choice	Background	Puzzle_Choice	Crowbar_Choice	LightTurquiose_Choice	Background	Dodecagon_Choice
Spade	Tie	DarkGray	Background	Puzzle	Ditto	DarkGray
Spade	Tie	DarkGray	Background	Puzzle	Ditto	DarkGray
Spade	Tie	DarkGray	Background	Puzzle	Ditto	DarkGray
Spade	Tie	DarkGray	Background	Puzzle	Ditto	DarkGray
Spade	Tie	DarkGray	Background	Puzzle	Ditto	DarkGray
Spade_Choice	Tie_Choice	DarkGray_Choice	Background	Puzzle_Choice	Ditto_Choice	DarkGray_Choice
Background	Lock	Heart	DarkGray	Background	Dodecagon	Star
Background	Lock	Heart	DarkGray	Background	Dodecagon	Star
Background	Lock	Heart	DarkGray	Background	Dodecagon	Star
Background	Lock	Heart	DarkGray	Background	Dodecagon	Star
Background	Lock	Heart	DarkGray	Background	Dodecagon	Star
Background	Lock_Choice	Heart_Choice	DarkGray_Choice	Background	Dodecagon_Choice	Star_Choice
Crowbar	DarkPurple	Background	Nail	Ditto	LightPurple	Background
Crowbar	DarkPurple	Background	Nail	Ditto	LightPurple	Background
Crowbar	DarkPurple	Background	Nail	Ditto	LightPurple	Background
Crowbar	DarkPurple	Background	Nail	Ditto	LightPurple	Background
Crowbar	DarkPurple	Background	Nail	Ditto	LightPurple	Background
Crowbar_Choice	DarkPurple_Choice	Background	Nail_Choice	Ditto_Choice	LightPurple_Choice	Background
LightTurquiose	Background	Diamond	Tie	DarkRed	Background	Nail
LightTurquiose	Background	Diamond	Tie	DarkRed	Background	Nail
LightTurquiose	Background	Diamond	Tie	DarkRed	Background	Nail
LightTurquiose	Background	Diamond	Tie	DarkRed	Background	Nail
LightTurquiose	Background	Diamond	Tie	DarkRed	Background	Nail
LightTurquiose_Choice	Background	Diamond_Choice	Tie_Choice	DarkRed_Choice	Background	Nail_Choice
Lock	Ditto	LightTurquiose	Background	Hourglass	Acorn	LightGreen
Lock	Ditto	LightTurquiose	Background	Hourglass	Acorn	LightGreen
Lock	Ditto	LightTurquiose	Background	Hourglass	Acorn	LightGreen
Lock	Ditto	LightTurquiose	Background	Hourglass	Acorn	LightGreen
Lock	Ditto	LightTurquiose	Background	Hourglass	Acorn	LightGreen
Lock_Choice	Ditto_Choice	LightTurquiose_Choice	Background	Hourglass_Choice	Acorn_Choice	LightGreen_Choice
Background	Diamond	Star	DarkGreen	Background	Spike	Pacman
Background	Diamond	Star	DarkGreen	Background	Spike	Pacman
Background	Diamond	Star	DarkGreen	Background	Spike	Pacman
Background	Diamond	Star	DarkGreen	Background	Spike	Pacman
Background	Diamond	Star	DarkGreen	Background	Spike	Pacman
Background	Diamond_Choice	Star_Choice	DarkGreen_Choice	Background	Spike_Choice	Pacman_Choice
Ditto	LightBlue	Background	Lock	Tie	DarkPurple	Background
Ditto	LightBlue	Background	Lock	Tie	DarkPurple	Background
Ditto	LightBlue	Background	Lock	Tie	DarkPurple	Background
Ditto	LightBlue	Background	Lock	Tie	DarkPurple	Background
Ditto	LightBlue	Background	Lock	Tie	DarkPurple	Background
Ditto_Choice	LightBlue_Choice	Background	Lock_Choice	Tie_Choice	DarkPurple_Choice	Background
DarkTurquiose	Background	Spade	Gem	LightGray	Background	UpArrow
DarkTurquiose	Background	Spade	Gem	LightGray	Background	UpArrow
DarkTurquiose	Background	Spade	Gem	LightGray	Background	UpArrow
DarkTurquiose	Background	Spade	Gem	LightGray	Background	UpArrow
DarkTurquiose	Background	Spade	Gem	LightGray	Background	UpArrow
DarkTurquiose_Choice	Background	Spade_Choice	Gem_Choice	LightGray_Choice	Background	UpArrow_Choice
Puzzle	Pacman	LightBlue	Background	Lock	LeftArrow	LightYellow
Puzzle	Pacman	LightBlue	Background	Lock	LeftArrow	LightYellow
Puzzle	Pacman	LightBlue	Background	Lock	LeftArrow	LightYellow
Puzzle	Pacman	LightBlue	Background	Lock	LeftArrow	LightYellow
Puzzle	Pacman	LightBlue	Background	Lock	LeftArrow	LightYellow
Puzzle_Choice	Pacman_Choice	LightBlue_Choice	Background	Lock_Choice	LeftArrow_Choice	LightYellow_Choice
Background	Spade	LeftArrow	LightRed	Background	Hourglass	Tie
Background	Spade	LeftArrow	LightRed	Background	Hourglass	Tie
Background	Spade	LeftArrow	LightRed	Background	Hourglass	Tie
Background	Spade	LeftArrow	LightRed	Background	Hourglass	Tie
Background	Spade	LeftArrow	LightRed	Background	Hourglass	Tie
Background	Spade_Choice	LeftArrow_Choice	LightRed_Choice	Background	Hourglass_Choice	Tie_Choice
Star	LightRed	Background	Diamond	Bell	DarkRed	Background
Star	LightRed	Background	Diamond	Bell	DarkRed	Background
Star	LightRed	Background	Diamond	Bell	DarkRed	Background
Star	LightRed	Background	Diamond	Bell	DarkRed	Background
Star	LightRed	Background	Diamond	Bell	DarkRed	Background
Star_Choice	LightRed_Choice	Background	Diamond_Choice	Bell_Choice	DarkRed_Choice	Background
LightGreen	Background	Hat	Jellyfish	LightYellow	Background	Sawblade
LightGreen	Background	Hat	Jellyfish	LightYellow	Background	Sawblade
LightGreen	Background	Hat	Jellyfish	LightYellow	Background	Sawblade
LightGreen	Background	Hat	Jellyfish	LightYellow	Background	Sawblade
LightGreen	Background	Hat	Jellyfish	LightYellow	Background	Sawblade
LightGreen_Choice	Background	Hat_Choice	Jellyfish_Choice	LightYellow_Choice	Background	Sawblade_Choice
Spike	Bell	DarkPurple	Background	Rabbit	Bell	LightTurquiose
Spike	Bell	DarkPurple	Background	Rabbit	Bell	LightTurquiose
Spike	Bell	DarkPurple	Background	Rabbit	Bell	LightTurquiose
Spike	Bell	DarkPurple	Background	Rabbit	Bell	LightTurquiose
Spike	Bell	DarkPurple	Background	Rabbit	Bell	LightTurquiose
Spike_Choice	Bell_Choice	DarkPurple_Choice	Background	Rabbit_Choice	Bell_Choice	LightTurquiose_Choice
Background	Hat	Chevron	LightGray	Background	Venn	Heart
Background	Hat	Chevron	LightGray	Background	Venn	Heart
Background	Hat	Chevron	LightGray	Background	Venn	Heart
Background	Hat	Chevron	LightGray	Background	Venn	Heart
Background	Hat	Chevron	LightGray	Background	Venn	Heart
Background	Hat_Choice	Chevron_Choice	LightGray_Choice	Background	Venn_Choice	Heart_Choice
Gem	LightYellow	Background	Sawblade	House	DarkYellow	Background
Gem	LightYellow	Background	Sawblade	House	DarkYellow	Background
Gem	LightYellow	Background	Sawblade	House	DarkYellow	Background
Gem	LightYellow	Background	Sawblade	House	DarkYellow	Background
Gem	LightYellow	Background	Sawblade	House	DarkYellow	Background
Gem_Choice	LightYellow_Choice	Background	Sawblade_Choice	House_Choice	DarkYellow_Choice	Background
LightGray	Background	Venn	Bell	DarkGray	Background	Spike
LightGray	Background	Venn	Bell	DarkGray	Background	Spike
LightGray	Background	Venn	Bell	DarkGray	Background	Spike
LightGray	Background	Venn	Bell	DarkGray	Background	Spike
LightGray	Background	Venn	Bell	DarkGray	Background	Spike
LightGray_Choice	Background	Venn_Choice	Bell_Choice	DarkGray_Choice	Background	Spike_Choice
Hat	Chevron	DarkYellow	Background	Sawblade	Heart	DarkBlue
Hat	Chevron	DarkYellow	Background	Sawblade	Heart	DarkBlue
Hat	Chevron	DarkYellow	Background	Sawblade	Heart	DarkBlue
Hat	Chevron	DarkYellow	Background	Sawblade	Heart	DarkBlue
Hat	Chevron	DarkYellow	Background	Sawblade	Heart	DarkBlue
Hat_Choice	Chevron_Choice	DarkYellow_Choice	Background	Sawblade_Choice	Heart_Choice	DarkBlue_Choice
Background	Sawblade	Ditto	DarkBlue	Background	Nail	Bell
Background	Sawblade	Ditto	DarkBlue	Background	Nail	Bell
Background	Sawblade	Ditto	DarkBlue	Background	Nail	Bell
Background	Sawblade	Ditto	DarkBlue	Background	Nail	Bell
Background	Sawblade	Ditto	DarkBlue	Background	Nail	Bell
Background	Sawblade_Choice	Ditto_Choice	DarkBlue_Choice	Background	Nail_Choice	Bell_Choice
House	DarkRed	Background	Hat	Heart	LightRed	Background
House	DarkRed	Background	Hat	Heart	LightRed	Background
House	DarkRed	Background	Hat	Heart	LightRed	Background
House	DarkRed	Background	Hat	Heart	LightRed	Background
House	DarkRed	Background	Hat	Heart	LightRed	Background
House_Choice	DarkRed_Choice	Background	Hat_Choice	Heart_Choice	LightRed_Choice	Background
LightPurple	Background	Nail	Pacman	LightBlue	Background	Rabbit
LightPurple	Background	Nail	Pacman	LightBlue	Background	Rabbit
LightPurple	Background	Nail	Pacman	LightBlue	Background	Rabbit
LightPurple	Background	Nail	Pacman	LightBlue	Background	Rabbit
LightPurple	Background	Nail	Pacman	LightBlue	Background	Rabbit
LightPurple_Choice	Background	Nail_Choice	Pacman_Choice	LightBlue_Choice	Background	Rabbit_Choice
Bar	Stickyhand	DarkBlue	Background	Dodecagon	Crowbar	LightPurple
Bar	Stickyhand	DarkBlue	Background	Dodecagon	Crowbar	LightPurple
Bar	Stickyhand	DarkBlue	Background	Dodecagon	Crowbar	LightPurple
Bar	Stickyhand	DarkBlue	Background	Dodecagon	Crowbar	LightPurple
Bar	Stickyhand	DarkBlue	Background	Dodecagon	Crowbar	LightPurple
Bar_Choice	Stickyhand_Choice	DarkBlue_Choice	Background	Dodecagon_Choice	Crowbar_Choice	LightPurple_Choice
Background	Nail	Crowbar	LightTurquiose	Background	Puzzle	Gem
Background	Nail	Crowbar	LightTurquiose	Background	Puzzle	Gem
Background	Nail	Crowbar	LightTurquiose	Background	Puzzle	Gem
Background	Nail	Crowbar	LightTurquiose	Background	Puzzle	Gem
Background	Nail	Crowbar	LightTurquiose	Background	Puzzle	Gem
Background	Nail_Choice	Crowbar_Choice	LightTurquiose_Choice	Background	Puzzle_Choice	Gem_Choice
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background
